"Name" "Nationality"
"Alexandre Barthe" "FRA"
"Aleksandar Aleksandrov" "BUL"
"Brayan Angulo" "COL"
"Yordan Minev" "BUL"
"Cosmin Moti" "ROU"
"Ventsislav Kerchev" "BUL"
"Georgi Terziev" "BUL"
"Júnior Caiçara" "BRA"
"Mihail Alexandrov" "BUL"
"Fábio Espinho" "POR"
"Anicet Abel" "MAD"
"Svetoslav Dyakov" "BUL"
"Hristo Zlatinski" "BUL"
"Tomas Tsvyatkov" "BUL"
"Oleg Dimitrov" "BUL"
"Kristiyan Kitov" "BUL"
"Marcelinho" "BRA"
"Wanderson" "BRA"
"Roman Bezjak" "SVN"
"Júnior Quixadá" "BRA"
"Dani Abalo" "ESP"
"Virgil Misidjan" "NED"
"Younés Hamza" "TUN"
"Georgi Dermendzhiev" "BUL"
"Iker Casillas" "ESP"
"Keylor Navas" "CRC"
"Fernando Pacheco" "ESP"
"Raphaël Varane" "FRA"
"Pepe" "POR"
"Sergio Ramos" "ESP"
"Fábio Coentrão" "POR"
"Marcelo" "BRA"
"Dani Carvajal" "ESP"
"Álvaro Arbeloa" "ESP"
"Nacho" "ESP"
"Guillermo Varela" "URU"
"Abner" "BRA"
"Jaime Sánchez" "ESP"
"Dani Fernandez" "ESP"
"Diego Llorente" "ESP"
"Javier Noblejas" "ESP"
"Derik Osede" "ESP"
"Sami Khedira" "GER"
"Toni Kroos" "GER"
"James Rodríguez" "COL"
"Gareth Bale" "WAL"
"Lucas Silva" "BRA"
"Luka Modric" "CRO"
"Martin Ødegaard" "NOR"
"Isco" "ESP"
"Asier Illarramendi " "ESP"
"Álvaro Medrán" "ESP"
"Lucas Torro" "ESP"
"Marcos Llorente" "ESP"
"Javier Muñoz" "ESP"
"Cristiano Ronaldo" "POR"
"Karim Benzema" "FRA"
"Javier Hernández" "MEX"
"Jesé" "ESP"
"Raúl de Tomás" "ESP"
"Eero Markkanen" "FIN"
"Carlo Ancelotti" "ITA"
"Danijel Subašic" "CRO"
"Maarten Stekelenburg" "NED"
"Seydou Sy" "SEN"
"Marc-Aurèle Caillard" "FRA"
