"Name" "Nationality"
"Welle N’Diaye" "SEN"
"Sintayehu Sallalich" "ISR"
"Agim Ibraimi" "MKD"
"Amir Derviševic" "SVN"
"Dare Vršic" "SVN"
"Dino Hotic" "SVN"
"Ranko Moravac" "SRB"
"Daniel Vujcic" "SVN"
"Damjan Bohar" "SVN"
"Sven Dodlek" "SVN"
"Aleš Mertelj" "SVN"
"Matic Crnic" "SVN"
"Tavares" "BRA"
"Luka Zahovic" "SVN"
"Jean-Philippe Mendy" "FRA"
"Rok Sirk" "SVN"
"Nusmir Fajic" "BIH"
"David Biton" "ISR"
"Alen Ploj" "SVN"
"Ante Šimundža" "SVN"
"Rui Patrício" "POR"
"Marcelo" "BRA"
"Guilherme Oliveira" "POR"
"Pedro Silva" "POR"
"Vladimir Stojkovic" "POR"
"Luís Ribeiro" "POR"
"Rami Rabia" "EGY"
"Maurício" "BRA"
"Jefferson" "BRA"
"Paulo Oliveira" "POR"
"Naby Sarr" "FRA"
"Jonathan Silva" "ARG"
"Cédric" "POR"
"Ricardo Esgaio" "POR"
"Tobias Figueiredo" "POR"
"Domingos Duarte" "POR"
"Wilson Manafá" "POR"
"Bruno Wilson" "POR"
"Bernardo Carlos" "POR"
"Hugo Meira" "POR"
"André Geraldes" "POR"
"André Martins" "POR"
"William Carvalho" "POR"
"João Mário" "POR"
"Adrien Silva" "POR"
"Oriol Rosell" "ESP"
"Ryan Gauld" "SCO"
"Simeon Slavchev" "BUL"
"Edelino Ié" "POR"
"Wallyson Mallmann" "BRA"
"Carlos Chaby" "POR"
"Francisco Geraldes" "POR"
"Mauro Riquicho" "POR"
"Fábio Martins" "POR"
"João Serrano" "POR"
"Rafael Barbosa" "POR"
"Islam Slimani" "ALG"
"Fredy Montero" "COL"
"Diego Capel" "ESP"
"André Carrillo" "PER"
"Junya Tanaka" "JPN"
"Héldon Ramos" "CPV"
"Hadi Sacko" "FRA"
"Carlos Mané" "POR"
"Cristian" "POR"
"Iuri Medeiros" "POR"
"Daniel Podence" "POR"
"Gelson Martins" "POR"
"José Postiga" "POR"
"Matheus Pereira" "BRA"
"Michael Pinto" "POR"
"Nani" "POR"
"Marco Silva" "POR"
"Gorka Iraizoz" "ESP"
"Iago Herrerín" "ESP"
"Kepa Arrizabalaga" "ESP"
"Alejandro Remiro" "ESP"
"Jon Aurtenetxe" "ESP"
"Aymeric Laporte" "FRA"
"Mikel San José" "ESP"
"Unai Bustinza" "ESP"
"Andoni Iraola" "ESP"
"Xabier Etxeita" "ESP"
"Carlos Gurpegi" "ESP"
"Mikel Balenziaga" "ESP"
"Unai Bilbao" "ESP"
"Markel Etxeberria" "ESP"
"Marcos Llorente" "ESP"
"Iñigo Lecue" "ESP"
"Yerai Alvarez" "ESP"
"Erik Morán" "ESP"
"Beñat" "ESP"
"Ander Iturraspe" "ESP"
"Óscar de Marcos" "ESP"
"Ibai Gómez" "ESP"
"Markel Susaeta" "ESP"
"Mikel Rico" "ESP"
"Iker Muniain" "ESP"
"Ager Aketxe" "ESP"
"Unai Lopez" "ESP"
"Óscar Gil" "ESP"
"Gorka Iturraspe" "ESP"
"Aitor Seguín" "ESP"
"Iker Undabarrena" "ESP"
"Martin Bengoa" "ESP"
"Gaizka Toquero" "ESP"
"Kike Sola" "ESP"
"Aritz Aduriz" "ESP"
"Borja Viguera" "ESP"
"Guillermo Fernández" "ESP"
"Iñaki Williams" "ESP"
"Nestor Salinas" "ESP"
"Gorka Santamaria" "ESP"
"Jurgi" "ESP"
"Ernesto Valverde" "ESP"
"Sergei Chernik" "BLR"
"Germans Malinš" "LVA"
"Artem Soroko" "BLR"
"Denis Scherbitski" "BLR"
"Vitali Gaiduchik" "BLR"
"Anri Khagush" "RUS"
"Yegor Filipenko" "BLR"
"Filip Mladenovic" "SRB"
"Denis Polyakov" "BLR"
"Aleksandr Pavlovets" "BLR"
"Nemanja Tubic" "SRB"
"Dmitri Likhtarovich" "BLR"
"Evgeni Yablonski" "BLR"
"Aleksandr Karnitski" "BLR"
"Aleksandr Volodko" "BLR"
"Ilya Aleksiyevich" "BLR"
"Aleksandr Pavlov" "BLR"
"Edgar Olekhnovich" "BLR"
"Dmitri Baga" "BLR"
"Maksim Volodko" "BLR"
"Aleksandr Dzhigero" "BLR"
"Artur Kats" "BLR"
"Evgeni Zdanyuk" "BLR"
"Andriy Yakovlev" "UKR"
"Nikolai Signevich" "BLR"
"Vladislav Klimovich" "BLR"
"Vitali Rodionov" "BLR"
"Dmitri Antilevski" "BLR"
"Aleksei Petrenko" "BLR"
"Mikhail Gordeichuk" "BLR"
"Viktor Goncharenko" "BLR"
"Helton" "BRA"
"Fabiano" "BRA"
"Ricardo" "POR"
"Andrés Fernández" "ESP"
"Kadu" "ANG"
"André Caio" "POR"
"João Costa" "POR"
"Danilo" "BRA"
"Bruno Martins Indi" "NED"
"Maicon" "BRA"
"Iván Marcano" "ESP"
"Diego Reyes" "MEX"
"Alex Sandro" "BRA"
"David Carneiro" "POR"
"Rafa" "POR"
"Diogo Sousa" "POR"
"Tomás Mota" "POR"
"Rui Silva" "POR"
"Casemiro" "BRA"
"Yacine Brahimi" "ALG"
"Evandro" "BRA"
"Hector Herrera" "MEX"
"Óliver Torres" "ESP"
"Rúben Neves" "POR"
"Mikel Agu" "NGA"
"Francisco Ramos" "POR"
"João Graça" "POR"
"Tomás Podstawski" "POR"
"Rui Moreira" "POR"
"Clever" "POR"
"Leandro Silva" "POR"
"Ricardo Quaresma" "POR"
"Jackson Martínez" "COL"
"Juan Quintero" "COL"
"Cristian Tello" "ESP"
"Hernâni" "POR"
"Adrián López" "ESP"
"Ricardo" "POR"
"Kelvin" "BRA"
"Gonçalo Paciência" "POR"
"André Silva" "POR"
"Frédéric Maciel" "POR"
"Luís Mata" "POR"
"Sérgio Ribeiro" "POR"
"Ivo Rodrigues" "POR"
"Rúben Macedo" "POR"
"Bruno Costa" "POR"
"Vincent Aboubakar" "CMR"
"Julen Lopetegui" "ESP"
"Andriy Pyatov" "UKR"
"Anton Kanibolotskiy" "UKR"
"Mykyta Kryukov" "UKR"
"Yevgen Grytsenko" "UKR"
"Olexandr Kucher" "UKR"
"Vyacheslav Shevchuk" "UKR"
"Ivan Ordets" "UKR"
"Ismaily" "BRA"
"Darijo Srna" "CRO"
"Serhiy Kryvtsov" "UKR"
"Yaroslav Rakitskiy" "UKR"
"Ihor Duts" "UKR"
"Márcio Azevedo" "BRA"
"Taras Stepanenko" "UKR"
"Fred" "BRA"
"Bernard" "BRA"
"Marlos" "BRA"
"Fernando" "BRA"
"Douglas Costa" "BRA"
"Alex Teixeira" "BRA"
"Viktor Kovalenko" "UKR"
"Ilsinho" "BRA"
"Dentinho" "BRA"
"Wellington Nem" "BRA"
"Luiz Adriano" "BRA"
"Olexandr Gladkiy" "UKR"
"Taison" "BRA"
"Mircea Lucescu" "ROU"
